Entry ID,Title,Phase 1,Phase 2,Phase 3,Affiliation,Section,Personnel,Geography,Keywords,Project Area Focus,Project Type,Project Status,Additional Keywords
1,Project 1 Title,True,True,False,Stanford University,COLLECTIVE INTELLIGENCE,Student leadership,Germany,"PRACTICE, JUSTICE, KNOWLEDGE",Middle East and North Africa,Exhibition,Preliminary Proposal,"qgdpugbrl, ggysztoi, qjouca, uiaoayni, pmvhgiigbo, fjboan, brikumxr, rshwo, ddzcof, ngiqnl"
2,Project 2 Title,True,True,False,Stanford University,"NATURAL, INTRO","Under 35 years old, Transnational (immigrant, refugee, multicultural) perspective, Insights from the Global South",India,"LABOR, SOLIDARITY","Outer Space, Europe",Image or Drawing,In Progress,"fuhkdl, upxexcofox, vekf, qnqzgbhzf"
3,Project 3 Title,True,True,True,Harvard University,"INTRO, END, NATURAL INTELLIGENCE",Disability perspective,South Africa,"PRACTICE, MATERIALS","North America, Central America","Other, Model or Maquette",In Progress,"dljliqynbj, tszvqj, cqbugqr"
4,Project 4 Title,True,True,True,Stanford University,NATURAL,LGBTQ leadership,Australia,"URBAN, ECOLOGY, LOGISTICS",Oceania,Video,"Complete, published or exhibited before","gsqrvyhlr, shxclvk, qdlefjnym, qlwkek"
5,Project 5 Title,True,True,False,MIT,INTRO,"Insights from the Global South, Student leadership",Brazil,"TERRITORY, BODY, BIOMIMICRY",Europe,Exhibition,"Complete, published or exhibited before","soepqgune, xyppanwf, evazhhc"
6,Project 6 Title,True,True,False,INDEPENDENT,NATURAL INTELLIGENCE,Disability perspective,South Africa,BODY,"Europe, Caribbean","Other, Augmented Reality, Virtual Reality, or other Experience","Complete, published or exhibited before","huanissiu, hgpofpylm, iwmou, dpglfz, uivxm"
7,Project 7 Title,True,True,False,MIT,END,Under 35 years old,Germany,"KNOWLEDGE, CARE, CARBON",Asia,"Exhibition, Video",In Progress,"xnzhueiuia, ugpgwaim, gcvh, kneqcxouts, cjbpoxwou, kdiftnz, vpwnjx, ltslq"
8,Project 8 Title,True,True,False,Oxford University,END,"Under 35 years old, Student leadership",USA,"CONSTRUCTION, CARE","South America, Oceans, Ice, and Atmosphere","Augmented Reality, Virtual Reality, or other Experience, Essay","Complete, unpublished","vhqjv, pcwomfuxd, egoj, vhbllxk, mbnsghsrj, pouq"
9,Project 9 Title,True,True,True,Oxford University,END,"LGBTQ leadership, Female leadership",Australia,"PUBLIC, METHOD",Central America,Model or Maquette,"Complete, unpublished","ojyrkbv, cjzmdia, movnqnnc, xcdbpfcg, rcjadjuzpy, uojru, vajb"
10,Project 10 Title,True,True,True,Oxford University,"COLLECTIVE, ARTIFICIAL, OUT","Student leadership, Insights from the Global South, Disability perspective",Brazil,"BODY, BIOMIMICRY, PUBLIC",Central America,"Augmented Reality, Virtual Reality, or other Experience","Complete, published or exhibited before","cosnulsqm, ywpy, cdggw, kzqhvbiui, dzsqrmvnr, yizcynjgg, ptjpga, kidtc, rwwll"
11,Project 11 Title,True,True,False,Harvard University,END,"Under 35 years old, Student leadership, Disability perspective",South Africa,"METHOD, COMMONS, BODY","Europe, Central America",Model or Maquette,In Progress,"mhzackvb, ezyj, nlapnb, omyc, ihbywnyinm, duzrwcfsf, fgmcvginc"
12,Project 12 Title,True,True,True,Harvard University,"OUT, NATURAL INTELLIGENCE, COLLECTIVE INTELLIGENCE","Insights from the Global South, Transnational (immigrant, refugee, multicultural) perspective, Under 35 years old",India,"BODY, BIOMIMICRY","Planetary, Non-Spatial or Dislocated","Outdoor Installation, Video",Preliminary Proposal,"hhottezcvh, nesalyexrq, bcrs"
13,Project 13 Title,True,True,False,Harvard University,"COLLECTIVE INTELLIGENCE, INTRO","Under 35 years old, Female leadership, LGBTQ leadership",Australia,URBAN,Outer Space,Image or Drawing,"Complete, unpublished","uxnjakhlq, cbpygkx, ypnjdgr, odhhfgjo, wiosp, guqy, lbedcmumhu, ojsqhza, nhke, ooiq"
14,Project 14 Title,True,True,True,Harvard University,OUT,"Insights from the Global South, Disability perspective, Transnational (immigrant, refugee, multicultural) perspective",Australia,CARE,"Asia, Europe","Outdoor Installation, Other","Complete, unpublished","pxkoabcdeb, ccnyiunn, zsxzl, zhinpfzuz, txskzjc, lrnzqxz, ldmhod, pqxgwpa, fkfdpzjlew"
15,Project 15 Title,True,True,False,Oxford University,ARTIFICIAL INTELLIGENCE,"Student leadership, Female leadership",South Africa,"LABOR, CONSTRUCTION","Oceans, Ice, and Atmosphere",Outdoor Installation,"Complete, unpublished","kjjebn, grrsziwxwe, jdgfvgwpvp"
16,Project 16 Title,True,True,False,INDEPENDENT,"ARTIFICIAL, OUT","Transnational (immigrant, refugee, multicultural) perspective, Under 35 years old",South Africa,SOLIDARITY,"Sub-Saharan Africa, Caribbean","Other, Model or Maquette",Preliminary Proposal,"zwnhlqu, hymejozjr, bwbi, gqctsbsvk"
17,Project 17 Title,True,True,True,Harvard University,END,"Insights from the Global South, LGBTQ leadership, Student leadership",India,BIOMIMICRY,"South America, North America",Outdoor Installation,In Progress,"lyyfkq, gjzinhkip, hkmqxdub"
18,Project 18 Title,True,True,True,Oxford University,"COLLECTIVE INTELLIGENCE, ARTIFICIAL INTELLIGENCE, OUT",Student leadership,Australia,"ECOLOGY, ENERGY, LOGISTICS","Sub-Saharan Africa, Caribbean",Outdoor Installation,Preliminary Proposal,"etjipoo, rnszfwmzza, tboa, rifps, rdlaogoae, jsbechna, kuue, wnsggno"
19,Project 19 Title,True,True,True,INDEPENDENT,"ARTIFICIAL, COLLECTIVE INTELLIGENCE","Under 35 years old, Insights from the Global South, Female leadership",China,PLANET,"North America, Caribbean",Other,In Progress,"fhkgz, kjzgi, gffl, yuxffstmgs, yfmoap, wdmlqjjl, xgpjwmmu"
20,Project 20 Title,True,True,True,Harvard University,COLLECTIVE INTELLIGENCE,"Transnational (immigrant, refugee, multicultural) perspective, LGBTQ leadership",Canada,CARE,"Sub-Saharan Africa, South America","Outdoor Installation, Augmented Reality, Virtual Reality, or other Experience","Complete, published or exhibited before","jmumjkecb, yxxogyr, qdnbapvzj, sgcmwnatw, gnusnhdb, ejeit"
21,Project 21 Title,True,True,True,Harvard University,"OUT, NATURAL INTELLIGENCE, ARTIFICIAL","Under 35 years old, Female leadership, Transnational (immigrant, refugee, multicultural) perspective",Japan,PRACTICE,"Central America, Middle East and North Africa","Exhibition, Model or Maquette",In Progress,"gffqvr, fgzjobh, efdoeop, oktuhorhxe, nnybj, avogmpzyrf, rszmzn, vpencva, rqkvx, kyknpncva"
22,Project 22 Title,True,True,False,Stanford University,"ARTIFICIAL INTELLIGENCE, COLLECTIVE, END","Transnational (immigrant, refugee, multicultural) perspective",Japan,"CARE, TECHNOLOGY, METHOD","Middle East and North Africa, Non-Spatial or Dislocated","Panel or Event, Other",In Progress,"aufrljt, nops, htxyektc"
23,Project 23 Title,True,True,False,Stanford University,"NATURAL INTELLIGENCE, ARTIFICIAL INTELLIGENCE, NATURAL",Female leadership,UK,"PRACTICE, TRADITION, JUSTICE",Central America,"Model or Maquette, Outdoor Installation","Complete, published or exhibited before","rwbrs, mmabsfr, qvfkxwma, rqdpdrlah, wunmatzqwb, nmqgy, tfmxptwdr"
24,Project 24 Title,True,True,True,INDEPENDENT,ARTIFICIAL,"Under 35 years old, Female leadership",Brazil,CARBON,"Outer Space, Sub-Saharan Africa",Video,In Progress,"auysmcfet, xwri, owpzlddha"
25,Project 25 Title,True,True,False,Harvard University,ARTIFICIAL INTELLIGENCE,"Transnational (immigrant, refugee, multicultural) perspective, LGBTQ leadership",USA,"ECOLOGY, JUSTICE, BIOMIMICRY",South America,Exhibition,"Complete, published or exhibited before","utpgc, ltqhkoyc, tilmiefpzo, hghqkyisz, tgkvmxhsp, ewffbjry, ylxvjcs, vfhkmhy, nlvfau, rtavxdfl"
26,Project 26 Title,True,True,True,Stanford University,"COLLECTIVE, ARTIFICIAL",Disability perspective,Canada,"PLANET, LABOR, WASTE",Middle East and North Africa,"Essay, Augmented Reality, Virtual Reality, or other Experience",In Progress,"zlcvbcb, iyid, nnolstb, tndpdbutlk"
27,Project 27 Title,True,True,True,MIT,"COLLECTIVE, END, ARTIFICIAL INTELLIGENCE",Under 35 years old,Japan,METHOD,Central America,"Panel or Event, Model or Maquette","Complete, published or exhibited before","jslaguvnkx, qqtvbcgqnm, qficbl, dtvsgap, dzphpyxkq, anddydx, bnbiu, zmxtsx, pfdfheakym, iuidxhvtq"
28,Project 28 Title,True,True,False,Harvard University,"OUT, ARTIFICIAL","Female leadership, LGBTQ leadership, Under 35 years old",UK,"URBAN, BODY, METHOD",Asia,"Exhibition, Model or Maquette",In Progress,"kqpcgwzws, qnlkmozmp, vjsadqps, ncskocrsnk, tbgiouqkap, ooocchg, puggphcit, cfokilrn, ylyaahfqx, gxwgd"
29,Project 29 Title,True,True,False,INDEPENDENT,"COLLECTIVE, ARTIFICIAL INTELLIGENCE","Disability perspective, LGBTQ leadership",Germany,TECHNOLOGY,Middle East and North Africa,Outdoor Installation,Preliminary Proposal,"qnrowmpe, urovb, wjclztulp, vzsncctae, ocxursd, rvuctsysi, gcsuziou"
30,Project 30 Title,True,True,False,INDEPENDENT,"END, ARTIFICIAL INTELLIGENCE","Insights from the Global South, Student leadership, Transnational (immigrant, refugee, multicultural) perspective",Canada,"URBAN, PLANET, JUSTICE",Outer Space,Essay,"Complete, published or exhibited before","ewwaxsv, nisaysfmn, mxvfc, xbkvxdd, aysdkai, hbshowo, lzmwngfe, bhvctctj, kjvt, qtpclagyn"
31,Project 31 Title,True,True,False,Stanford University,"OUT, NATURAL INTELLIGENCE, NATURAL","LGBTQ leadership, Under 35 years old, Transnational (immigrant, refugee, multicultural) perspective",Japan,"PRACTICE, SOLIDARITY, LOGISTICS",North America,"Essay, Exhibition","Complete, published or exhibited before","gbfrbpjd, wbzmqkqxqd, tbcz, yavnvloa, ldme, rqela"
32,Project 32 Title,True,True,False,Stanford University,"INTRO, COLLECTIVE, NATURAL INTELLIGENCE","Under 35 years old, Female leadership, Disability perspective",USA,JUSTICE,Planetary,Panel or Event,"Complete, unpublished","fjgtogpa, lqzsqn, jasqzhcrz"
33,Project 33 Title,True,True,True,Oxford University,"END, INTRO","Insights from the Global South, Under 35 years old, LGBTQ leadership",China,CARBON,"North America, Oceania",Panel or Event,"Complete, unpublished","isyx, ezjquhrq, zjeg, hcjshzhbx, wyzvortp, eace"
34,Project 34 Title,True,True,True,Oxford University,COLLECTIVE,"Female leadership, Student leadership, Insights from the Global South",India,"CONSTRUCTION, JUSTICE, TRADITION","Caribbean, Middle East and North Africa","Other, Video","Complete, unpublished","bgkh, bfoiexqs, noxlhjgz"
35,Project 35 Title,True,True,True,Harvard University,"ARTIFICIAL, COLLECTIVE INTELLIGENCE",Insights from the Global South,Canada,"WASTE, KNOWLEDGE",Planetary,"Exhibition, Image or Drawing",In Progress,"mzpjuqvn, hlxcjx, usvzoexy"
36,Project 36 Title,True,True,False,Oxford University,NATURAL INTELLIGENCE,"Under 35 years old, Female leadership",Germany,"BIOMIMICRY, MATERIALS, TERRITORY","Oceans, Ice, and Atmosphere, Europe","Video, Outdoor Installation","Complete, published or exhibited before","hssncdvat, kodm, ghgemqzu, lkjryxjmiv, vlpbfqsew, zfiafarf, zgttybjopa"
37,Project 37 Title,True,True,False,Stanford University,ARTIFICIAL INTELLIGENCE,"Under 35 years old, Transnational (immigrant, refugee, multicultural) perspective, LGBTQ leadership",India,"BODY, SOLIDARITY",Non-Spatial or Dislocated,"Augmented Reality, Virtual Reality, or other Experience","Complete, unpublished","gopzdgnbp, cddzzrhhb, hxunppn, wrmoxdwqk, nnyzgxbur, lceztwds"
38,Project 38 Title,True,True,False,Stanford University,"NATURAL, COLLECTIVE INTELLIGENCE, END","Student leadership, Transnational (immigrant, refugee, multicultural) perspective, LGBTQ leadership",Japan,BIOMIMICRY,"South America, Caribbean",Outdoor Installation,"Complete, unpublished","ivfbzuge, gfrwttpc, tnrbtnf, yfap, dhavwn, eowepkswvu"
39,Project 39 Title,True,True,True,Stanford University,"NATURAL, END","Student leadership, Disability perspective, LGBTQ leadership",India,"LOGISTICS, PRACTICE","North America, Oceania",Outdoor Installation,Preliminary Proposal,"xkqhj, aqhyn, bjcc, frpeapkclu, flqbjsb, lezfefc, wpozky"
40,Project 40 Title,True,True,False,INDEPENDENT,"NATURAL, INTRO","LGBTQ leadership, Insights from the Global South, Female leadership",Brazil,DIGITAL,"Asia, Europe","Other, Image or Drawing",Preliminary Proposal,"kdce, nczfirpz, rxgztfvrhb"
41,Project 41 Title,True,True,True,Harvard University,COLLECTIVE,"Disability perspective, Transnational (immigrant, refugee, multicultural) perspective, LGBTQ leadership",Australia,CONSTRUCTION,"Central America, Caribbean","Panel or Event, Video","Complete, unpublished","leerqtn, xchfnkzfr, zhizvgrqcj, zelydyaamy"
42,Project 42 Title,True,True,True,MIT,"NATURAL INTELLIGENCE, ARTIFICIAL INTELLIGENCE, NATURAL",Insights from the Global South,USA,"TRADITION, DIGITAL",Asia,"Exhibition, Panel or Event","Complete, published or exhibited before","okgian, ixar, jhmjnjpf, enkfwsa, jhbcexuii, rnakk, gptsrkbg"
43,Project 43 Title,True,True,False,Stanford University,"COLLECTIVE, INTRO","Female leadership, Student leadership, Insights from the Global South",India,JUSTICE,Europe,"Image or Drawing, Augmented Reality, Virtual Reality, or other Experience","Complete, unpublished","yktbds, wkidu, tavxs, btfzmffil, yqebnfjr, tfqqdfzzbj, tzmlrx, amag, ccsuuffb"
44,Project 44 Title,True,True,True,Stanford University,"INTRO, OUT","Transnational (immigrant, refugee, multicultural) perspective, Student leadership, Disability perspective",Brazil,TERRITORY,Oceania,Exhibition,"Complete, unpublished","ugphwf, pxalgwfyvg, qnfisxf, natccmfp, thfg"
